# file...... EOL_1_2_V.csv
# date...... Tue Jan 24 15:06:23 2017
# user...... D3P313
# host...... (null)
# target.... node 18756
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-09-01 00:00:00 PDT,+6111.62,-4083.68,-6504.53,-3188.44,+546.663,+7297.24
2000-09-01 00:01:00 PDT,+6074.74,-4055.74,-6464.04,-3165.36,+540.67,+7254.52
2000-09-01 00:02:00 PDT,+6037.5,-4026.98,-6423.41,-3148.14,+532.496,+7211.14
2000-09-01 00:03:00 PDT,+6005.21,-3997.15,-6394.15,-3136.11,+511.994,+7185.77
2000-09-01 00:04:00 PDT,+5988.42,-3973.64,-6366.34,-3142.39,+499.244,+7153.53
2000-09-01 00:05:00 PDT,+5956.69,-3943.71,-6340.24,-3129.28,+476.474,+7137.52
2000-09-01 00:06:00 PDT,+5939.68,-3915.11,-6306.88,-3115.44,+464.304,+7107.14
2000-09-01 00:07:00 PDT,+5908.83,-3893,-6281.53,-3110.63,+448.153,+7079.07
2000-09-01 00:08:00 PDT,+5870.53,-3873.67,-6257.89,-3107.9,+432.588,+7039.1
2000-09-01 00:09:00 PDT,+5844.82,-3851.28,-6223.53,-3097.77,+427.85,+6998.93
2000-09-01 00:10:00 PDT,+5811.35,-3822.34,-6193.43,-3072,+415.814,+6970.28
2000-09-01 00:11:00 PDT,+5808.41,-3820.88,-6163.63,-3057.84,+406.556,+6936.3
2000-09-01 00:12:00 PDT,+5814.87,-3822.36,-6163.7,-3059.63,+408.977,+6896.67
2000-09-01 00:13:00 PDT,+5820.1,-3821.07,-6163.28,-3057.69,+410.815,+6856.57
2000-09-01 00:14:00 PDT,+5822.1,-3818.26,-6161.43,-3049.04,+415.465,+6859.76
2000-09-01 00:15:00 PDT,+5827.86,-3816.84,-6161.45,-3050.69,+413.056,+6863.32
2000-09-01 00:16:00 PDT,+5832.11,-3813.2,-6158.43,-3042.13,+417.091,+6867.58
2000-09-01 00:17:00 PDT,+5833.92,-3809.4,-6159.08,-3038.89,+412.576,+6874.4
2000-09-01 00:18:00 PDT,+5832.67,-3813.8,-6162.2,-3045.18,+412.425,+6826.63
2000-09-01 00:19:00 PDT,+5838.39,-3809.68,-6157.32,-3043.23,+415.005,+6829.07
2000-09-01 00:20:00 PDT,+5841.29,-3811.56,-6153.79,-3044.68,+425.325,+6824.42
2000-09-01 00:21:00 PDT,+5838.41,-3811.11,-6153.26,-3041.6,+423.412,+6826.41
2000-09-01 00:22:00 PDT,+5840.59,-3813.93,-6154.3,-3050.97,+423.894,+6821.31
2000-09-01 00:23:00 PDT,+5841.26,-3811.15,-6157.52,-3048.24,+420.538,+6829.29
2000-09-01 00:24:00 PDT,+5842.04,-3811.73,-6158.23,-3050.99,+421.034,+6828.66
2000-09-01 00:25:00 PDT,+5845.26,-3811.28,-6159.22,-3055.24,+419.741,+6829.04
2000-09-01 00:26:00 PDT,+5855.85,-3810.45,-6153.84,-3053.15,+428.733,+6823.81
2000-09-01 00:27:00 PDT,+5824.55,-3789.11,-6152.13,-3054.89,+430.772,+6819.29
2000-09-01 00:28:00 PDT,+5822.47,-3790,-6153.27,-3055.74,+430.627,+6818.81
2000-09-01 00:29:00 PDT,+5818.8,-3790.23,-6153.14,-3051.74,+430.542,+6819.92
2000-09-01 00:30:00 PDT,+5815.15,-3793.27,-6154.5,-3052.96,+432.5,+6817.3
2000-09-01 00:31:00 PDT,+5816.12,-3794.28,-6157.15,-3061.42,+428.312,+6820.26
2000-09-01 00:32:00 PDT,+5811.86,-3797.44,-6159.72,-3065.32,+427.312,+6818.96
2000-09-01 00:33:00 PDT,+5808.22,-3796.33,-6162.03,-3060.67,+421.304,+6824.96
2000-09-01 00:34:00 PDT,+5813.17,-3795.09,-6165.08,-3065.88,+422.029,+6824.75
2000-09-01 00:35:00 PDT,+5809.35,-3791.9,-6167.7,-3060.11,+413.409,+6834.21
2000-09-01 00:36:00 PDT,+5804.84,-3795.75,-6169.13,-3062.67,+412.236,+6832.36
2000-09-01 00:37:00 PDT,+5805.13,-3792.01,-6167.98,-3056.27,+411.984,+6836.3
2000-09-01 00:38:00 PDT,+5803.9,-3791.45,-6168.5,-3052.63,+409.379,+6838.85
2000-09-01 00:39:00 PDT,+5802.65,-3789.86,-6171.15,-3050.9,+404.296,+6842.98
2000-09-01 00:40:00 PDT,+5802.48,-3790.38,-6170.33,-3051.14,+408.246,+6841.13
2000-09-01 00:41:00 PDT,+5801.44,-3792.98,-6171.82,-3056.94,+405,+6840.36
2000-09-01 00:42:00 PDT,+5808.59,-3793.06,-6167.32,-3059.13,+414.57,+6834.36
2000-09-01 00:43:00 PDT,+5810.43,-3791.55,-6168.31,-3060.72,+413.406,+6834.67
2000-09-01 00:44:00 PDT,+5811.65,-3795.34,-6168.31,-3066.86,+415.813,+6830.89
2000-09-01 00:45:00 PDT,+5810.08,-3796.68,-6168.43,-3065.23,+417.238,+6829.6
2000-09-01 00:46:00 PDT,+5814.71,-3793.55,-6164.54,-3059.63,+420.293,+6831.71
2000-09-01 00:47:00 PDT,+5816.66,-3792.71,-6165.25,-3064.05,+418.042,+6832.57
2000-09-01 00:48:00 PDT,+5815.29,-3792.31,-6164.88,-3058.81,+416.955,+6834.8
