# file...... feeder_power.csv
# date...... Tue Jan 24 15:06:23 2017
# user...... D3P313
# host...... (null)
# target.... transformer 29
# trigger... (none)
# interval.. 60
# limit..... 9600
# timestamp,power_in.real,power_in.imag
2000-09-01 01:42:00 PDT,+2.58184e+006,-247990
2000-09-01 01:43:00 PDT,+2.58034e+006,-245456
2000-09-01 01:44:00 PDT,+2.59816e+006,-245034
2000-09-01 01:45:00 PDT,+2.5879e+006,-248793
2000-09-01 01:46:00 PDT,+2.58454e+006,-248611
2000-09-01 01:47:00 PDT,+2.59488e+006,-251170
2000-09-01 01:48:00 PDT,+2.59782e+006,-251043
2000-09-01 01:49:00 PDT,+2.59768e+006,-252658
2000-09-01 01:50:00 PDT,+2.59851e+006,-252211
2000-09-01 01:51:00 PDT,+2.59656e+006,-254643
2000-09-01 01:52:00 PDT,+2.60216e+006,-255892
2000-09-01 01:53:00 PDT,+2.65001e+006,-252150
2000-09-01 01:54:00 PDT,+2.63332e+006,-254850
2000-09-01 01:55:00 PDT,+2.65773e+006,-250913
2000-09-01 01:56:00 PDT,+2.6678e+006,-251242
2000-09-01 01:57:00 PDT,+2.66234e+006,-250808
2000-09-01 01:58:00 PDT,+2.67459e+006,-250931
2000-09-01 01:59:00 PDT,+2.65345e+006,-253580
2000-09-01 02:00:00 PDT,+2.66042e+006,-254881
2000-09-01 02:01:00 PDT,+2.66224e+006,-255180
2000-09-01 02:02:00 PDT,+2.68207e+006,-252326
2000-09-01 02:03:00 PDT,+2.71872e+006,-247483
2000-09-01 02:04:00 PDT,+2.74491e+006,-246181
2000-09-01 02:05:00 PDT,+2.75701e+006,-245769
2000-09-01 02:06:00 PDT,+2.78154e+006,-247781
2000-09-01 02:07:00 PDT,+2.81263e+006,-244743
2000-09-01 02:08:00 PDT,+2.82348e+006,-242438
2000-09-01 02:09:00 PDT,+2.824e+006,-241971
2000-09-01 02:10:00 PDT,+2.82594e+006,-245210
2000-09-01 02:11:00 PDT,+2.86658e+006,-240877
2000-09-01 02:12:00 PDT,+2.85408e+006,-244593
2000-09-01 02:13:00 PDT,+2.85042e+006,-247303
2000-09-01 02:14:00 PDT,+2.85983e+006,-247393
2000-09-01 02:15:00 PDT,+2.87737e+006,-243321
2000-09-01 02:16:00 PDT,+2.8672e+006,-247030
2000-09-01 02:17:00 PDT,+2.86873e+006,-246142
2000-09-01 02:18:00 PDT,+2.87452e+006,-245213
2000-09-01 02:19:00 PDT,+2.8588e+006,-248515
2000-09-01 02:20:00 PDT,+2.84143e+006,-250455
2000-09-01 02:21:00 PDT,+2.87024e+006,-248457
2000-09-01 02:22:00 PDT,+2.88907e+006,-250081
2000-09-01 02:23:00 PDT,+2.90823e+006,-249164
2000-09-01 02:24:00 PDT,+2.88974e+006,-250981
2000-09-01 02:25:00 PDT,+2.8736e+006,-252860
2000-09-01 02:26:00 PDT,+2.89169e+006,-251225
2000-09-01 02:27:00 PDT,+2.88753e+006,-252575
2000-09-01 02:28:00 PDT,+2.9217e+006,-249667
2000-09-01 02:29:00 PDT,+2.91603e+006,-252675
2000-09-01 02:30:00 PDT,+2.92252e+006,-251859
2000-09-01 02:31:00 PDT,+2.9222e+006,-249679
2000-09-01 02:32:00 PDT,+2.91247e+006,-252837
2000-09-01 02:33:00 PDT,+2.94453e+006,-248519
2000-09-01 02:34:00 PDT,+2.93211e+006,-249456
2000-09-01 02:35:00 PDT,+2.93693e+006,-247855
2000-09-01 02:36:00 PDT,+2.96364e+006,-242454
2000-09-01 02:37:00 PDT,+2.9759e+006,-240387
2000-09-01 02:38:00 PDT,+3.00008e+006,-235261
2000-09-01 02:39:00 PDT,+2.9809e+006,-238854
2000-09-01 02:40:00 PDT,+2.9463e+006,-242935
2000-09-01 02:41:00 PDT,+2.92267e+006,-245601
2000-09-01 02:42:00 PDT,+2.91085e+006,-247737
2000-09-01 02:43:00 PDT,+2.93169e+006,-244217
2000-09-01 02:44:00 PDT,+2.93781e+006,-239894
2000-09-01 02:45:00 PDT,+2.95052e+006,-239344
2000-09-01 02:46:00 PDT,+2.95157e+006,-238965
2000-09-01 02:47:00 PDT,+2.94213e+006,-239764
2000-09-01 02:48:00 PDT,+2.92595e+006,-241818
2000-09-01 02:49:00 PDT,+2.93737e+006,-239422
2000-09-01 02:50:00 PDT,+2.94501e+006,-238136
2000-09-01 02:51:00 PDT,+2.92947e+006,-241864
2000-09-01 02:52:00 PDT,+2.93538e+006,-242235
2000-09-01 02:53:00 PDT,+2.97834e+006,-238342
2000-09-01 02:54:00 PDT,+2.96797e+006,-240726
2000-09-01 02:55:00 PDT,+2.98498e+006,-238076
2000-09-01 02:56:00 PDT,+3.00664e+006,-236157
2000-09-01 02:57:00 PDT,+3.01307e+006,-236146
2000-09-01 02:58:00 PDT,+3.067e+006,-229834
2000-09-01 02:59:00 PDT,+3.09933e+006,-224804
2000-09-01 03:00:00 PDT,+3.07021e+006,-228089
